TEAM_ID,TEAM_NAME,GP,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,SEASON,SEASON_START_YEAR,TEAM_SUCCESS_GROUP,TWO_PM,TWO_PA,TWO_PCT,FG3A_RATE,FT_RATE,OREB_SHARE,ASSISTED_FG_RATE,BALL_CONTROL,BLOCK_ADVANTAGE,FOUL_BALANCE
1610612757,Portland Trail Blazers,82,0.537,48.3,38.6,85.9,0.45,10.5,28.5,0.37,17.4,23.0,0.754,11.6,33.9,45.5,21.3,14.6,6.9,4.6,5.2,21.7,19.5,105.1,0.8,2015-16,2015,Average,28.1,57.400000000000006,0.49,0.332,0.268,0.255,0.552,6.700000000000001,-0.6000000000000005,-2.1999999999999993
1610612758,Sacramento Kings,82,0.402,48.3,40.0,86.4,0.464,8.0,22.4,0.359,18.5,25.5,0.725,10.6,33.7,44.2,24.5,16.2,8.9,4.5,5.3,20.4,22.0,106.6,-2.5,2015-16,2015,Average,32.0,64.0,0.5,0.259,0.295,0.24,0.612,8.3,-0.7999999999999998,1.6000000000000014
1610612759,San Antonio Spurs,82,0.817,48.1,40.1,82.9,0.484,7.0,18.5,0.375,16.4,20.4,0.803,9.4,34.5,43.9,24.5,13.1,8.3,5.9,3.9,17.5,19.5,103.5,10.6,2015-16,2015,Successful,33.1,64.4,0.514,0.223,0.246,0.214,0.611,11.4,2.0000000000000004,2.0
1610612761,Toronto Raptors,82,0.683,48.2,36.7,81.3,0.451,8.6,23.4,0.37,20.8,26.7,0.777,10.2,33.2,43.4,18.7,13.1,7.8,5.5,5.4,19.6,22.0,102.7,4.5,2015-16,2015,Successful,28.1,57.9,0.485,0.288,0.328,0.235,0.51,5.6,0.09999999999999964,2.3999999999999986
1610612762,Utah Jazz,82,0.488,48.7,36.1,80.4,0.449,8.5,23.9,0.355,17.1,23.0,0.744,10.7,32.5,43.2,19.0,14.9,7.7,5.2,4.7,20.2,19.9,97.7,1.8,2015-16,2015,Average,27.6,56.50000000000001,0.488,0.297,0.286,0.248,0.526,4.1,0.5,-0.3000000000000007
1610612764,Washington Wizards,82,0.5,48.2,39.5,85.8,0.46,8.6,24.2,0.358,16.5,22.5,0.73,9.1,32.8,41.8,24.5,14.5,8.6,3.9,4.3,20.8,20.1,104.1,-0.5,2015-16,2015,Average,30.9,61.599999999999994,0.502,0.282,0.262,0.218,0.62,10.0,-0.3999999999999999,-0.6999999999999993
1610612737,Atlanta Hawks,82,0.524,48.5,38.1,84.4,0.451,8.9,26.1,0.341,18.1,24.9,0.728,10.3,34.1,44.3,23.6,15.8,8.2,4.8,5.2,18.2,21.6,103.2,-0.9,2016-17,2016,Average,29.200000000000003,58.300000000000004,0.501,0.309,0.295,0.233,0.619,7.800000000000001,-0.40000000000000036,3.400000000000002
1610612738,Boston Celtics,82,0.646,48.2,38.6,85.1,0.454,12.0,33.4,0.359,18.7,23.2,0.807,9.1,32.9,42.0,25.2,13.3,7.5,4.1,5.2,20.6,20.3,108.0,2.6,2016-17,2016,Successful,26.6,51.699999999999996,0.515,0.392,0.273,0.217,0.653,11.899999999999999,-1.1000000000000005,-0.3000000000000007
1610612751,Brooklyn Nets,82,0.244,48.2,37.8,85.2,0.444,10.7,31.6,0.338,19.4,24.6,0.788,8.8,35.1,43.9,21.4,16.5,7.2,4.7,5.6,21.0,20.4,105.8,-6.7,2016-17,2016,Unsuccessful,27.099999999999998,53.6,0.506,0.371,0.289,0.2,0.566,4.899999999999999,-0.8999999999999995,-0.6000000000000014
1610612766,Charlotte Hornets,82,0.439,48.4,37.7,85.4,0.442,10.0,28.6,0.351,19.4,23.8,0.815,8.8,34.8,43.6,23.1,11.5,7.0,4.8,5.5,16.6,19.9,104.9,0.2,2016-17,2016,Average,27.700000000000003,56.800000000000004,0.488,0.335,0.279,0.202,0.613,11.600000000000001,-0.7000000000000002,3.299999999999997
