TEAM_ID,TEAM_NAME,GP,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,POSS,PIE,GP_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON,SEASON_START_YEAR,TEAM_SUCCESS_GROUP,SHOOTING_EFFICIENCY_GAP,REB_PCT_BALANCE,PACE_ADJ_NET_RATING,POSSESSION_CONTROL_INDEX,TEAM_SUCCESS_GROUP_ENCODED
1610612758,Sacramento Kings,82,0.402,3961.0,105.3,107.6,-2.3,0.612,1.52,17.6,0.281,0.717,0.5,0.16,0.51,0.546,100.66,8302,0.494,1,21,19,14,22,20,6,18,5,14,18,14,25,10,11,1,17,2015-16,2015,Average,0.036,0.436,-2.285,0.34,
1610612759,San Antonio Spurs,82,0.817,3941.0,109.3,98.2,11.1,0.611,1.88,18.8,0.266,0.746,0.516,0.138,0.526,0.564,94.54,7767,0.578,1,2,29,4,1,1,7,2,3,23,4,6,6,2,3,24,1,2015-16,2015,Successful,0.038,0.48,11.741,0.378,1.0
1610612761,Toronto Raptors,82,0.683,3956.0,109.3,104.8,4.4,0.511,1.43,14.9,0.3,0.736,0.52,0.139,0.504,0.552,93.35,7707,0.525,1,4,23,5,12,6,30,24,28,5,7,3,7,12,7,29,8,2015-16,2015,Successful,0.048,0.436,4.713,0.381,1.0
1610612762,Utah Jazz,82,0.488,3991.0,105.0,103.2,1.8,0.526,1.27,15.1,0.303,0.731,0.517,0.161,0.501,0.54,91.66,7625,0.508,1,19,2,16,7,10,27,29,27,4,10,5,26,15,16,30,12,2015-16,2015,Average,0.039,0.428,1.964,0.356,
1610612764,Washington Wizards,82,0.5,3951.0,104.5,105.1,-0.5,0.619,1.69,18.1,0.25,0.737,0.49,0.145,0.511,0.544,99.16,8163,0.497,1,17,26,21,14,17,3,8,4,25,6,24,15,9,15,5,15,2015-16,2015,Average,0.033,0.487,-0.504,0.345,
1610612737,Atlanta Hawks,82,0.524,3976.0,104.5,105.2,-0.7,0.621,1.5,17.4,0.282,0.717,0.502,0.16,0.504,0.541,97.76,8091,0.506,1,11,4,27,4,19,6,23,11,13,19,12,28,19,20,11,10,2016-17,2016,Average,0.037,0.435,-0.716,0.342,
1610612738,Boston Celtics,82,0.646,3951.0,110.6,108.0,2.6,0.653,1.9,18.8,0.259,0.705,0.485,0.136,0.525,0.567,97.21,8005,0.514,1,4,25,7,14,8,2,3,2,23,29,27,7,9,6,13,7,2016-17,2016,Successful,0.042,0.446,2.675,0.349,1.0
1610612751,Brooklyn Nets,82,0.244,3951.0,103.6,110.1,-6.5,0.566,1.29,15.9,0.241,0.716,0.483,0.162,0.507,0.551,101.75,8371,0.46,1,30,25,29,23,28,21,29,26,28,22,28,29,17,16,1,28,2016-17,2016,Unsuccessful,0.044,0.475,-6.388,0.321,0.0
1610612766,Charlotte Hornets,82,0.439,3966.0,108.4,108.4,0.0,0.611,2.01,17.6,0.247,0.749,0.496,0.119,0.501,0.547,95.92,7934,0.505,1,20,10,14,17,15,8,2,9,27,3,19,1,23,17,20,11,2016-17,2016,Average,0.046,0.502,0.0,0.377,
1610612741,Chicago Bulls,82,0.5,3956.0,106.5,106.2,0.3,0.584,1.66,16.8,0.311,0.733,0.519,0.14,0.487,0.53,96.02,7919,0.504,1,15,18,21,5,14,13,15,17,3,8,4,13,30,28,19,13,2016-17,2016,Average,0.043,0.422,0.312,0.379,
1610612739,Cleveland Cavaliers,82,0.622,3976.0,112.8,109.7,3.1,0.567,1.66,17.1,0.264,0.722,0.499,0.14,0.547,0.58,96.74,8019,0.51,1,5,4,3,21,7,20,16,15,21,14,18,11,2,3,16,9,2016-17,2016,Successful,0.033,0.458,3.204,0.359,1.0
1610612742,Dallas Mavericks,82,0.402,3956.0,104.7,107.7,-3.0,0.574,1.75,16.8,0.216,0.733,0.465,0.127,0.505,0.541,93.11,7668,0.479,1,22,18,25,13,23,17,7,18,30,7,30,3,18,19,28,24,2016-17,2016,Average,0.036,0.517,-3.222,0.338,
1610612743,Denver Nuggets,82,0.488,3951.0,112.2,111.7,0.4,0.615,1.69,18.2,0.314,0.753,0.532,0.15,0.53,0.568,99.18,8167,0.503,1,18,25,4,29,13,7,10,4,2,2,1,23,5,5,6,15,2016-17,2016,Average,0.038,0.439,0.403,0.382,
1610612765,Detroit Pistons,82,0.451,3961.0,105.3,106.7,-1.4,0.53,1.78,16.1,0.286,0.775,0.519,0.123,0.492,0.521,95.52,7890,0.482,1,19,13,23,8,21,28,4,24,9,1,3,2,27,30,21,23,2016-17,2016,Average,0.029,0.489,-1.466,0.396,
1610612744,Golden State Warriors,82,0.817,3956.0,114.8,103.4,11.4,0.705,2.06,21.2,0.272,0.709,0.504,0.146,0.563,0.597,100.37,8279,0.579,1,1,18,1,2,1,1,1,1,17,27,10,20,1,1,4,1,2016-17,2016,Successful,0.034,0.437,11.358,0.358,1.0
