TEAM_ID,TEAM_NAME,GP,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,POSS,PIE,GP_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON,SEASON_START_YEAR,TEAM_SUCCESS_GROUP,SHOOTING_EFFICIENCY_GAP,REB_PCT_BALANCE,PACE_ADJ_NET_RATING,POSSESSION_CONTROL_INDEX,TEAM_SUCCESS_GROUP_ENCODED,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TWO_PCT,FG3A_RATE,FT_RATE,OREB_SHARE,ASSISTED_FG_RATE,BALL_CONTROL,NEXT_W_PCT,NEXT_SEASON_START_YEAR,W_PCT_CHANGE,DECLINE_RISK
1610612739,Cleveland Cavaliers,82,0.695,3971.0,110.2,103.9,6.3,0.587,1.67,17.4,0.294,0.742,0.519,0.143,0.524,0.558,93.82,7764,0.528,1,3,9,3,10,4,16,10,11,10,5,4,13,3,4,28,5,2015-16,2015,Successful,0.034,0.448,6.715,0.376,2,38.7,84.0,0.46,10.7,29.6,0.362,16.3,21.7,0.748,10.6,33.9,44.5,22.7,13.6,6.7,3.9,4.4,20.3,20.6,104.3,6.0,8,19,10,2,3,7,26,24,21,12,11,9,13,10,28,27,7,14,12,8,4,0.515,0.352,0.258,0.238,0.587,9.1,0.622,2016.0,-0.07299999999999995,1.0
1610612739,Cleveland Cavaliers,82,0.622,3976.0,112.8,109.7,3.1,0.567,1.66,17.1,0.264,0.722,0.499,0.14,0.547,0.58,96.74,8019,0.51,1,5,4,3,21,7,20,16,15,21,14,18,11,2,3,16,9,2016-17,2016,Successful,0.033,0.458,3.204,0.359,2,39.9,84.9,0.47,13.0,33.9,0.384,17.5,23.3,0.748,9.3,34.4,43.7,22.7,13.7,6.6,4.0,4.3,18.1,20.6,110.3,3.2,5,19,5,2,2,2,19,13,23,21,7,12,13,14,30,25,8,4,6,4,7,0.527,0.399,0.274,0.213,0.569,9.0,0.61,2017.0,-0.01200000000000001,0.0
1610612739,Cleveland Cavaliers,82,0.61,3946.0,112.0,111.1,1.0,0.579,1.7,17.5,0.243,0.73,0.492,0.139,0.547,0.584,98.72,8114,0.502,1,6,23,5,29,14,20,8,9,28,16,24,9,3,3,9,17,2017-18,2017,Successful,0.037,0.487,1.013,0.353,2,40.4,84.8,0.476,12.0,32.1,0.372,18.1,23.3,0.779,8.5,33.7,42.1,23.4,13.7,7.1,3.8,4.1,18.6,20.7,110.9,0.9,10,26,5,3,5,6,6,9,10,27,17,23,12,10,24,28,3,5,7,5,14,0.539,0.379,0.275,0.202,0.579,9.7,0.232,2018.0,-0.378,1.0
1610612739,Cleveland Cavaliers,82,0.232,3951.0,106.8,116.8,-10.0,0.532,1.54,15.6,0.282,0.732,0.496,0.138,0.503,0.54,97.37,8021,0.436,1,28,24,25,30,30,29,27,29,10,11,21,13,29,29,29,30,2018-19,2018,Unsuccessful,0.037,0.45,-10.27,0.358,0,38.9,87.6,0.444,10.3,29.1,0.355,16.4,20.7,0.792,10.7,31.9,42.7,20.7,13.5,6.5,2.4,5.6,20.0,19.4,104.5,-9.6,26,23,28,20,24,13,22,27,7,12,28,26,29,9,28,30,27,6,28,29,30,0.489,0.332,0.236,0.251,0.532,7.2,0.292,2019.0,0.05999999999999997,0.0
1610612739,Cleveland Cavaliers,65,0.292,3145.0,106.9,114.8,-7.9,0.573,1.4,16.8,0.296,0.738,0.512,0.165,0.522,0.553,99.17,6497,0.453,26,29,27,26,30,29,23,30,23,2,9,7,30,22,24,23,30,2019-20,2019,Unsuccessful,0.031,0.442,-7.966,0.347,0,40.3,87.9,0.458,11.2,31.8,0.351,15.1,19.9,0.758,10.8,33.4,44.2,23.1,16.5,6.9,3.2,6.3,18.3,19.6,106.9,-7.9,20,24,19,21,20,20,29,29,20,4,22,19,24,30,25,30,29,1,26,26,28,0.519,0.362,0.226,0.244,0.573,6.6,0.306,2020.0,0.014000000000000012,0.0
1610612739,Cleveland Cavaliers,72,0.306,3486.0,105.2,113.5,-8.3,0.618,1.54,17.5,0.28,0.729,0.499,0.157,0.508,0.543,97.96,7107,0.46,1,26,6,28,25,28,12,29,21,7,21,15,29,29,28,25,27,2020-21,2020,Unsuccessful,0.035,0.449,-8.473,0.342,0,38.6,85.8,0.45,10.0,29.7,0.336,16.7,22.4,0.743,10.4,32.3,42.8,23.8,15.5,7.8,4.5,5.9,18.2,20.2,103.8,-8.4,29,28,25,29,28,30,14,9,26,10,28,24,21,29,12,20,29,7,6,30,28,0.51,0.346,0.261,0.243,0.617,8.3,0.537,2021.0,0.23100000000000004,0.0
1610612739,Cleveland Cavaliers,82,0.537,3946.0,111.0,108.9,2.1,0.634,1.75,18.7,0.277,0.724,0.506,0.148,0.538,0.571,96.83,7964,0.517,1,14,24,20,5,13,6,21,7,12,18,12,27,14,15,25,7,2021-22,2021,Average,0.033,0.447,2.169,0.358,1,39.7,84.6,0.469,11.6,32.8,0.355,16.8,22.1,0.76,10.2,34.0,44.2,25.2,14.4,7.1,4.2,4.6,17.5,20.0,107.8,2.1,21,29,9,20,22,15,18,12,21,16,16,15,11,22,26,24,15,1,11,25,13,0.542,0.388,0.261,0.231,0.635,10.8,0.622,2022.0,0.08499999999999996,0.0
1610612739,Cleveland Cavaliers,82,0.622,3976.0,115.5,109.9,5.6,0.6,1.87,18.6,0.273,0.715,0.496,0.137,0.556,0.59,96.27,7972,0.531,1,5,5,8,1,2,17,10,11,20,20,20,12,9,9,30,2,2022-23,2022,Successful,0.034,0.442,5.817,0.359,2,41.6,85.2,0.488,11.6,31.6,0.367,17.5,22.5,0.78,9.7,31.4,41.1,24.9,13.3,7.1,4.7,4.4,19.0,20.4,112.3,5.4,20,27,5,19,24,12,23,21,19,22,25,25,19,6,15,14,13,9,10,25,2,0.56,0.371,0.264,0.236,0.599,11.6,0.585,2023.0,-0.03700000000000003,0.0
1610612739,Cleveland Cavaliers,82,0.585,3961.0,114.7,112.1,2.5,0.671,2.07,20.2,0.274,0.721,0.501,0.138,0.557,0.586,97.62,8053,0.519,1,11,10,16,7,12,3,8,4,22,14,15,19,13,13,24,8,2023-24,2023,Average,0.029,0.447,2.561,0.363,1,41.8,87.2,0.479,13.5,36.8,0.367,15.6,20.4,0.765,9.8,33.4,43.3,28.0,13.6,7.4,4.6,5.0,17.5,18.7,112.6,2.4,19,24,12,7,8,15,26,24,22,22,11,17,8,17,19,21,17,5,16,20,13,0.562,0.422,0.234,0.226,0.67,14.4,0.78,2024.0,0.19500000000000006,0.0
1610612739,Cleveland Cavaliers,82,0.78,3951.0,121.0,111.8,9.2,0.631,2.13,19.6,0.296,0.7,0.505,0.131,0.578,0.607,100.31,8267,0.546,1,2,18,1,8,3,19,5,8,15,22,12,4,1,1,10,2,2024-25,2024,Successful,0.029,0.404,9.172,0.374,2,44.5,90.8,0.491,15.9,41.5,0.383,17.0,21.9,0.776,11.2,34.2,45.4,28.1,13.2,8.2,4.3,4.4,18.1,18.9,121.9,9.5,4,7,2,2,4,2,15,15,17,13,5,6,9,3,14,27,8,11,11,1,2,0.58,0.457,0.241,0.247,0.631,14.9,,,,
1610612740,New Orleans Pelicans,82,0.366,3956.0,104.8,108.4,-3.7,0.577,1.65,16.8,0.252,0.748,0.493,0.137,0.498,0.537,97.64,8041,0.472,1,25,23,18,26,25,19,11,16,24,3,22,4,19,18,8,26,2015-16,2015,Unsuccessful,0.039,0.496,-3.789,0.356,0,38.5,85.9,0.448,8.6,23.8,0.36,17.3,22.2,0.776,9.5,33.1,42.6,22.2,13.4,7.7,4.2,5.2,20.9,19.9,102.7,-3.8,12,8,19,15,16,9,16,22,13,23,20,22,17,8,16,23,15,22,17,13,25,0.481,0.277,0.258,0.223,0.577,8.8,0.415,2016.0,0.04899999999999999,0.0
1610612740,New Orleans Pelicans,82,0.415,3981.0,104.7,106.8,-2.1,0.582,1.77,17.1,0.228,0.728,0.48,0.129,0.504,0.539,98.56,8173,0.493,1,21,2,26,9,22,14,6,16,29,11,29,4,20,23,8,21,2016-17,2016,Average,0.035,0.5,-2.131,0.351,1,39.1,87.0,0.45,9.4,26.8,0.35,16.7,22.3,0.75,8.6,35.1,43.7,22.8,12.9,7.8,5.5,4.2,18.2,19.3,104.3,-2.1,17,12,20,14,13,19,25,21,22,29,1,13,12,5,16,5,7,5,23,18,22,0.493,0.308,0.256,0.197,0.583,9.9,0.585,2017.0,0.16999999999999998,0.0
1610612740,New Orleans Pelicans,82,0.585,3991.0,108.5,107.4,1.1,0.627,1.79,19.0,0.24,0.726,0.494,0.145,0.541,0.573,101.48,8443,0.525,1,8,1,12,14,13,4,5,3,29,19,21,16,4,5,1,7,2017-18,2017,Average,0.032,0.486,1.084,0.349,1,42.7,88.3,0.483,10.2,28.2,0.362,16.1,20.9,0.772,8.7,35.6,44.3,26.8,14.9,8.0,5.9,4.2,19.1,20.4,111.7,1.3,2,3,2,18,18,13,19,17,15,26,3,10,3,22,8,3,4,8,13,3,13,0.541,0.319,0.237,0.196,0.628,11.9,0.402,2018.0,-0.18299999999999994,1.0
1610612740,New Orleans Pelicans,82,0.402,3951.0,110.7,112.0,-1.3,0.619,1.82,18.6,0.285,0.729,0.509,0.142,0.529,0.563,103.89,8553,0.498,1,22,24,12,22,20,11,12,7,7,14,9,22,11,12,2,16,2018-19,2018,Average,0.034,0.444,-1.251,0.367,1,43.7,92.2,0.473,10.3,29.9,0.344,17.8,23.4,0.761,11.1,36.2,47.3,27.0,14.8,7.4,5.4,5.4,21.1,21.0,115.4,-1.3,2,3,6,22,21,24,13,11,18,8,6,5,3,24,18,7,23,19,13,3,21,0.536,0.324,0.254,0.235,0.618,12.2,0.417,2019.0,0.014999999999999958,0.0
1610612740,New Orleans Pelicans,72,0.417,3486.0,110.5,111.8,-1.3,0.63,1.64,18.4,0.287,0.729,0.508,0.156,0.539,0.568,103.89,7548,0.495,11,21,13,15,21,20,7,17,7,4,18,13,29,6,14,4,18,2019-20,2019,Average,0.029,0.442,-1.251,0.352,1,42.6,91.6,0.465,13.6,36.9,0.37,17.1,23.4,0.729,11.1,35.4,46.5,26.8,16.4,7.5,5.0,4.8,21.2,21.1,115.8,-1.3,2,2,13,5,7,7,20,14,29,2,10,6,3,29,19,13,14,17,11,5,20,0.53,0.403,0.255,0.239,0.629,10.4,0.431,2020.0,0.014000000000000012,0.0
