TEAM_ID,TEAM_NAME,TEAM_GP,TEAM_W,TEAM_L,TEAM_W_PCT,TEAM_MIN,TEAM_E_OFF_RATING,TEAM_OFF_RATING,TEAM_E_DEF_RATING,TEAM_DEF_RATING,TEAM_E_NET_RATING,TEAM_NET_RATING,TEAM_AST_PCT,TEAM_AST_TO,TEAM_AST_RATIO,TEAM_OREB_PCT,TEAM_DREB_PCT,TEAM_REB_PCT,TEAM_TM_TOV_PCT,TEAM_EFG_PCT,TEAM_TS_PCT,TEAM_E_PACE,TEAM_PACE,TEAM_PACE_PER40,TEAM_POSS,TEAM_PIE,SEASON,SEASON_START_YEAR
1610612747,Los Angeles Lakers,82,61,21,0.744,3966.0,109.2,110.4,100.7,102.3,8.5,8.1,0.639,1.6,18.1,0.339,0.656,0.503,0.16,0.519,0.559,96.1,94.85,79.04,7836,0.558,1997-98,1997
1610612748,Miami Heat,82,55,27,0.671,3951.0,104.6,105.7,98.7,100.5,5.9,5.2,0.617,1.43,17.0,0.339,0.669,0.508,0.166,0.494,0.538,90.6,89.35,74.46,7367,0.535,1997-98,1997
1610612749,Milwaukee Bucks,82,36,46,0.439,3986.0,100.6,101.5,102.4,103.7,-1.8,-2.2,0.565,1.19,15.7,0.34,0.664,0.501,0.181,0.475,0.527,92.8,91.9,76.58,7637,0.483,1997-98,1997
1610612750,Minnesota Timberwolves,82,45,37,0.549,3986.0,104.8,106.4,103.6,105.5,1.2,0.8,0.655,1.82,18.6,0.333,0.657,0.497,0.146,0.483,0.529,95.5,93.89,78.24,7793,0.515,1997-98,1997
1610612751,New Jersey Nets,82,43,39,0.524,3976.0,104.8,105.8,103.3,104.3,1.4,1.5,0.552,1.43,15.3,0.383,0.65,0.508,0.153,0.463,0.513,94.0,93.16,77.63,7723,0.497,1997-98,1997
1610612752,New York Knicks,82,43,39,0.524,3966.0,100.4,101.5,97.1,98.8,3.3,2.7,0.624,1.43,17.3,0.319,0.703,0.512,0.169,0.476,0.521,90.8,89.53,74.61,7398,0.517,1997-98,1997
1610612753,Orlando Magic,82,41,41,0.5,3966.0,98.8,101.0,100.9,102.2,-2.1,-1.2,0.611,1.35,16.3,0.37,0.646,0.505,0.172,0.452,0.499,90.1,88.51,73.76,7315,0.489,1997-98,1997
1610612754,Indiana Pacers,82,58,24,0.707,3966.0,105.6,106.3,98.4,99.5,7.2,6.8,0.647,1.62,18.3,0.305,0.657,0.49,0.158,0.502,0.55,90.5,89.69,74.75,7410,0.553,1997-98,1997
1610612755,Philadelphia 76ers,82,31,51,0.378,3951.0,99.7,101.1,102.7,103.3,-3.0,-2.3,0.609,1.28,16.3,0.341,0.66,0.499,0.179,0.462,0.514,93.0,92.11,76.76,7570,0.478,1997-98,1997
1610612756,Phoenix Suns,82,56,26,0.683,3991.0,104.5,106.3,98.8,100.6,5.7,5.6,0.677,1.72,19.3,0.321,0.664,0.497,0.161,0.5,0.54,94.1,92.47,77.06,7685,0.547,1997-98,1997
1610612757,Portland Trail Blazers,82,46,36,0.561,3966.0,100.8,102.4,99.5,100.8,1.3,1.6,0.612,1.28,16.6,0.355,0.685,0.525,0.183,0.476,0.524,92.8,91.46,76.22,7555,0.512,1997-98,1997
1610612758,Sacramento Kings,82,27,55,0.329,3946.0,98.1,99.1,103.8,105.0,-5.7,-5.9,0.621,1.44,17.0,0.328,0.643,0.483,0.165,0.464,0.502,94.8,93.78,78.15,7709,0.458,1997-98,1997
1610612759,San Antonio Spurs,82,56,26,0.683,3966.0,101.5,102.4,96.2,98.0,5.3,4.4,0.635,1.4,17.7,0.326,0.696,0.524,0.178,0.493,0.531,90.9,89.65,74.71,7407,0.551,1997-98,1997
1610612760,Seattle SuperSonics,82,61,21,0.744,3951.0,108.5,110.1,100.4,102.3,8.1,7.9,0.651,1.73,18.7,0.321,0.635,0.481,0.153,0.521,0.558,92.5,90.96,75.8,7487,0.544,1997-98,1997
1610612761,Toronto Raptors,82,16,66,0.195,3986.0,98.5,99.4,107.7,108.9,-9.2,-9.5,0.589,1.27,16.0,0.339,0.602,0.466,0.175,0.462,0.504,95.4,94.36,78.64,7829,0.431,1997-98,1997
1610612762,Utah Jazz,82,62,20,0.756,3956.0,109.3,110.9,102.3,103.8,7.0,7.2,0.692,1.64,19.4,0.352,0.684,0.529,0.169,0.51,0.569,91.9,90.55,75.46,7464,0.571,1997-98,1997
1610612763,Vancouver Grizzlies,82,19,63,0.232,3966.0,101.1,102.4,109.3,110.2,-8.2,-7.8,0.652,1.4,17.9,0.34,0.652,0.496,0.182,0.482,0.527,94.6,93.6,78.0,7735,0.452,1997-98,1997
1610612764,Washington Wizards,82,42,40,0.512,3961.0,102.2,103.9,101.6,103.2,0.6,0.7,0.617,1.64,17.5,0.339,0.673,0.501,0.151,0.476,0.513,94.5,92.98,77.49,7669,0.507,1997-98,1997
1610612765,Detroit Pistons,82,37,45,0.451,3991.0,102.5,103.4,100.4,101.8,2.1,1.6,0.558,1.33,15.5,0.332,0.668,0.5,0.16,0.472,0.523,90.8,89.75,74.79,7468,0.505,1997-98,1997
1610612766,Charlotte Hornets,82,51,31,0.622,3956.0,104.7,105.5,102.7,103.3,2.0,2.2,0.654,1.56,18.3,0.326,0.691,0.51,0.166,0.495,0.542,91.8,91.13,75.95,7511,0.526,1997-98,1997
1610612737,Atlanta Hawks,50,31,19,0.62,2415.0,96.9,98.4,93.9,95.3,3.0,3.1,0.507,1.05,13.0,0.353,0.701,0.527,0.17,0.436,0.492,88.4,87.1,72.58,4387,0.525,1998-99,1998
1610612738,Boston Celtics,50,19,31,0.38,2430.0,97.6,98.7,99.7,100.8,-2.1,-2.1,0.591,1.33,16.3,0.33,0.666,0.493,0.171,0.469,0.501,94.0,93.02,77.51,4711,0.473,1998-99,1998
1610612739,Cleveland Cavaliers,50,22,28,0.44,2410.0,96.7,98.2,98.5,100.1,-1.9,-1.9,0.7,1.39,17.9,0.295,0.656,0.478,0.178,0.464,0.52,89.1,87.66,73.05,4400,0.493,1998-99,1998
1610612741,Chicago Bulls,50,13,37,0.26,2414.0,89.8,91.4,100.1,101.7,-10.2,-10.4,0.661,1.31,16.4,0.299,0.684,0.482,0.173,0.424,0.47,90.7,89.19,74.32,4482,0.42,1998-99,1998
1610612742,Dallas Mavericks,50,19,31,0.38,2415.0,99.3,100.2,102.2,103.0,-2.9,-2.7,0.527,1.33,14.7,0.321,0.673,0.495,0.151,0.459,0.502,91.6,90.8,75.66,4570,0.474,1998-99,1998
